x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
2,20,-0.0742182,2.90E-05,1.68558,3.02435
3,20,-0.0514898,2.20E-05,1.56017,2.78287
4,20,-0.0121835,1.14E-05,1.50255,2.68134
5,20,0.0194112,5.40E-06,1.45067,2.60266
6,20,0.0163332,1.18E-05,1.44191,2.61684
7,20,0.0234639,2.66E-05,1.47614,2.70933
8,20,0.0307681,6.45E-05,1.52312,2.82766
9,20,0.0637315,8.68E-05,1.57107,2.9628
10,20,0.0533112,8.85E-05,1.55856,2.96128
11,20,0.058173,8.52E-05,1.54637,2.94587
12,20,0.0795001,6.72E-05,1.54934,2.94027
13,20,0.05707,2.77E-05,1.55316,2.94353
14,20,0.07843,8.92E-06,1.5281,2.88208
15,20,0.0590616,1.81E-05,1.55094,2.92381
16,20,-0.00844743,3.64E-05,1.65388,3.12733
17,20,-0.0602672,4.32E-05,1.71149,3.22469
18,20,-0.113458,4.35E-05,1.75955,3.28999
19,20,-0.15566,4.33E-05,1.81257,3.36201
20,20,-0.143933,4.89E-05,1.86901,3.44092
21,20,-0.131301,4.57E-05,1.89568,3.47884
22,20,-0.126523,3.76E-05,1.95511,3.57512
0,21,-0.0795557,6.07E-05,1.45683,2.49719
1,21,-0.0455478,4.72E-05,1.4324,2.44988
2,21,-0.0187544,3.62E-05,1.38538,2.37093
3,21,0.0203772,3.19E-05,1.32323,2.2677
4,21,0.0551168,1.94E-05,1.31053,2.26488
5,21,0.0496897,8.61E-06,1.32681,2.33283
6,21,0.0508043,7.60E-06,1.38841,2.49392
7,21,0.0448195,1.96E-05,1.48128,2.70718
8,21,0.0447726,5.05E-05,1.57955,2.94333
9,21,0.0210786,6.43E-05,1.65656,3.16106
10,21,0.00520451,6.07E-05,1.72745,3.33656
11,21,-0.00559562,5.75E-05,1.75185,3.40215
12,21,-0.0108149,4.58E-05,1.8002,3.51049
13,21,-0.0129808,2.04E-05,1.78606,3.48129
14,21,-0.0458428,7.41E-06,1.76607,3.42273
15,21,-0.0949173,1.35E-05,1.73876,3.33278
16,21,-0.125896,2.52E-05,1.62831,3.07163
17,21,-0.139754,3.90E-05,1.47336,2.71103
18,21,-0.0891109,6.72E-05,1.29042,2.29903
