x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
9,83,-0.21263,0.000393213,2.01281,4.11353
3,43,-0.337888,0.00736283,1.92444,4.10705
12,40,-0.212859,0.0015068,2.31219,4.0973
2,52,-0.324685,0.000387573,1.8138,4.09719
3,70,-0.160424,0.000262624,1.95742,4.0956
13,74,0.603703,0.00398256,2.29918,4.09497
4,80,-0.024743,0.00036098,1.95594,4.09359
12,73,-0.679093,0.00269283,2.20538,4.09128
6,41,-0.0670717,0.0206626,1.68554,4.08783
13,99,0.0422479,0.00202489,1.90138,4.07684
13,21,0.059253,2.66E-05,2.1206,4.07046
16,101,0.0158848,0.000374816,1.92492,4.0704
5,50,0.0287743,0.00118981,1.858,4.0689
19,28,-0.0322501,0.00439246,1.96921,4.06186
7,47,0.13286,0.00565513,1.80432,4.06145
2,70,-0.439571,0.000203443,1.90981,4.05815
10,99,-0.226878,0.00101002,1.71944,4.05766
4,63,-0.34808,0.000204736,1.81937,4.05364
2,48,0.464142,0.000674398,1.8709,4.05339
7,75,-0.0101974,0.000281304,1.92519,4.05024
6,49,0.75595,0.000781002,1.81711,4.04667
19,48,0.0189825,0.0017945,1.6178,4.04483
17,102,-0.051755,0.000327855,1.93661,4.04131
17,34,0.234281,0.000497529,1.85407,4.03022
3,65,-0.364711,0.000157158,1.8204,4.02862
4,78,0.113471,0.000499373,1.86034,4.0282
16,45,-0.253889,0.000429373,2.16246,4.01778
22,52,-0.14329,0.000483422,1.80686,4.01663
14,42,-0.921406,0.000525002,2.26137,4.01542
4,16,-0.37049,1.13E-05,2.15092,4.01177
8,42,0.0293054,0.00488246,1.94604,4.00654
20,67,-0.123817,0.00019596,1.82904,4.00522
18,44,0.228316,0.00250601,1.78074,4.00204
19,55,0.0540422,0.00134812,1.68831,4.00065
20,29,-0.0145114,0.00108694,1.98591,3.9962
19,47,0.216189,0.00161775,1.70354,3.99391
6,66,0.0500289,0.000313573,1.80422,3.99238
11,41,0.5862,0.00345032,2.2529,3.99045
7,76,-0.204011,0.000472922,1.93318,3.98955
10,17,-0.0176986,9.58E-05,2.1501,3.98889
8,43,-0.0329474,0.00612972,1.95507,3.98779
2,17,-0.249662,5.35E-05,2.16767,3.98659
6,60,-0.214589,0.0011061,1.74832,3.98608
15,94,-0.0135437,0.00162669,1.97687,3.98592
6,55,-0.214559,0.00220817,1.77675,3.98473
17,36,-0.355036,0.000287388,1.93103,3.9779
18,94,-0.301057,0.00391942,1.71035,3.97588
